Até 4ª série incompleta do 1º grau (ensino fundamental)
4ª série completa do 1º grau (ensino fundamental)
5ª a 8ª série incompleta do 1º grau (ensino fundamental)
1º grau completo (ensino fundamental)
2º grau incompleto (ensino médio)
2º grau completo (ensino médio)
Superior Incompleto
Superior Completo
Pós-Graduação/Especialização
Mestrado
Doutorado
